,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5805,Avalanche,AVAX,avalanche,828,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,409827467.2467533,448163767.2467533,False,,11,,,,2024-12-22T05:26:00.000Z,36.451395371234184,670378608.5552815,-47.482,-2.47586469,-9.78992271,-26.50527305,0.1824845,33.78116126,32.80092817,14938783042.602932,0.4534,26090039542.72,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
11,1975,Chainlink,LINK,chainlink,1903,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,638099970.4527867,1000000000.0,False,,12,,,,2024-12-22T05:26:00.000Z,21.718240438268058,1206821393.091613,-39.2436,-1.81403495,-8.15113093,-25.50738612,42.11149392,85.05316009,90.62634733,13858408581.945364,0.4206,21718240438.27,,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-12-22 00:27:04.546723
12,11419,Toncoin,TON,toncoin,641,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2551781764.2684007,5117971233.56169,True,,13,3414166606.0,17859007365.542423,,2024-12-22T05:26:00.000Z,5.23085409310644,273807161.7371691,-52.9503,-1.50842874,-5.57042401,-16.26446886,-5.89484298,0.63814735,-7.1656996,13347998086.337736,0.4051,26771360775.48,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
13,20947,Sui,SUI,sui,491,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm']",10000000000.0,2927660018.558888,10000000000.0,False,,14,,,,2024-12-22T05:26:00.000Z,4.375898727486168,2942806529.9321427,-31.0527,-3.14368317,-7.75147967,-1.62134091,21.09037977,128.62252193,171.22168837,12811143749.723969,0.3888,43758987274.86,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
14,5994,Shiba Inu,SHIB,shiba-inu,921,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589255481866648.8,589508569012417.5,False,,15,,,,2024-12-22T05:26:00.000Z,2.098781405752156e-05,1007273661.9202046,-43.086,-2.72977997,-8.46876385,-23.83331258,-16.02798392,17.03911767,42.89628161,12367184485.792492,0.3753,12372496231.75,,2024-12-22T05:26:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-12-22 00:27:04.546723
15,512,Stellar,XLM,stellar,651,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season']",50001806812.0,30227903692.098343,50001786911.162926,False,,16,,,,2024-12-22T05:26:00.000Z,0.3463649323503365,565433059.6273842,-56.264,-1.88321937,-8.11243863,-18.429867,22.33756759,263.78134992,260.90509482,10469885817.40613,0.3177,17318872433.83,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
16,6636,Polkadot,DOT,polkadot-new,855,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1531006093.2697916,1531006093.2697916,True,,17,1531011073.526097,10446363675.937777,,2024-12-22T05:26:00.000Z,6.823179699072054,547318452.8522457,-39.5337,-1.71456085,-8.01781002,-20.44793784,9.41913445,59.62514236,56.48755642,10446329694.754059,0.317,10446329694.75,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
17,4642,Hedera,HBAR,hedera,301,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1']",50000000000.0,38252162549.971275,50000000000.0,False,,18,,,,2024-12-22T05:26:00.000Z,0.24574506328016732,942090582.2275851,-51.9366,-2.51094846,-9.70021256,-16.15716209,83.98928312,370.54840663,347.28473216,9400280106.445938,0.2853,12287253164.01,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
18,32196,Hyperliquid,HYPE,hyperliquid,32,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'derivatives', 'layer-1', 'hyperliquid-ecosystem']",1000000000.0,270908567.0,999993930.0,False,,19,333931719.0,11001983188.269163,,2024-12-22T05:26:00.000Z,32.94680487740418,464475110.71312916,-26.8628,-2.82675417,-0.43941446,36.20178079,929.49870595,929.49870595,929.49870595,8925571696.566177,0.2709,32946804877.4,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
19,1831,Bitcoin Cash,BCH,bitcoin-cash,961,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1', '2017-2018-alt-season']",21000000.0,19805140.625,19805140.625,False,,20,,,,2024-12-22T05:26:00.000Z,443.89870609535876,512734175.12476003,-27.4215,-2.59752838,-3.08961836,-17.87833657,-10.56371501,25.09953927,29.62700455,8791476297.474125,0.2668,9321872828.0,,2024-12-22T05:26:00.000Z,,,,,,2024-12-22 00:27:04.546723
